№;Дата и время;Секунда;Микросекунда
1;2023-06-03 00:11:48.274216;48;274
2;2023-06-03 00:11:48.284224;48;284
3;2023-06-03 00:11:48.295176;48;295
4;2023-06-03 00:11:48.305182;48;305
5;2023-06-03 00:11:48.315189;48;315
6;2023-06-03 00:11:48.325211;48;325
7;2023-06-03 00:11:48.335214;48;335
8;2023-06-03 00:11:48.345214;48;345
9;2023-06-03 00:11:48.355221;48;355
10;2023-06-03 00:11:48.365226;48;365
11;2023-06-03 00:11:48.375232;48;375
12;2023-06-03 00:11:48.385356;48;385
13;2023-06-03 00:11:48.395380;48;395
14;2023-06-03 00:11:48.405416;48;405
15;2023-06-03 00:11:48.415423;48;415
16;2023-06-03 00:11:48.425833;48;425
17;2023-06-03 00:11:48.435850;48;435
18;2023-06-03 00:11:48.446419;48;446
19;2023-06-03 00:11:48.456428;48;456
20;2023-06-03 00:11:48.466880;48;466
21;2023-06-03 00:11:48.476888;48;476
22;2023-06-03 00:11:48.487540;48;487
23;2023-06-03 00:11:48.498490;48;498
24;2023-06-03 00:11:48.508492;48;508
25;2023-06-03 00:11:48.518499;48;518
26;2023-06-03 00:11:48.528526;48;528
27;2023-06-03 00:11:48.538527;48;538
28;2023-06-03 00:11:48.548549;48;548
29;2023-06-03 00:11:48.558555;48;558
30;2023-06-03 00:11:48.569250;48;569
31;2023-06-03 00:11:48.579261;48;579
32;2023-06-03 00:11:48.590259;48;590
33;2023-06-03 00:11:48.600266;48;600
34;2023-06-03 00:11:48.610273;48;610
35;2023-06-03 00:11:48.620286;48;620
36;2023-06-03 00:11:48.630293;48;630
37;2023-06-03 00:11:48.640550;48;640
38;2023-06-03 00:11:48.650662;48;650
39;2023-06-03 00:11:48.660670;48;660
40;2023-06-03 00:11:48.671054;48;671
41;2023-06-03 00:11:48.681791;48;681
42;2023-06-03 00:11:48.692561;48;692
43;2023-06-03 00:11:48.702568;48;702
44;2023-06-03 00:11:48.712574;48;712
45;2023-06-03 00:11:48.723394;48;723
46;2023-06-03 00:11:48.733971;48;733
47;2023-06-03 00:11:48.743977;48;743
48;2023-06-03 00:11:48.753985;48;753
49;2023-06-03 00:11:48.763996;48;763
50;2023-06-03 00:11:48.774019;48;774
51;2023-06-03 00:11:48.784568;48;784
52;2023-06-03 00:11:48.794627;48;794
53;2023-06-03 00:11:48.805587;48;805
54;2023-06-03 00:11:48.816028;48;816
55;2023-06-03 00:11:48.827033;48;827
56;2023-06-03 00:11:48.837050;48;837
